Torneo,Posición,PJ,PG,PE,PP,GF,GC,DIF,Pts.,Bono
Torneo Finalización 2012,3°,24,10,10,4,31,18,13,40,0
Torneo Apertura 2013,CampeónStar*.svg,26,12,10,4,40,30,10,42,0
Torneo Finalización 2013,CampeónStar*.svg,26,17,6,3,44,16,28,57,0
Torneo Apertura 2014,CampeónStar*.svg,24,14,4,6,45,27,18,46,0
Torneo Finalización 2014,6°,24,10,5,9,30,18,12,35,0
Torneo Apertura 2015,7°,22,10,5,7,36,28,8,35,0
Torneo Finalización 2015,CampeónStar*.svg,26,17,4,5,40,11,29,55,0
Torneo Apertura 2016,3°,24,12,7,5,45,23,22,43,0
Torneo Finalización 2016,3°,24,10,11,3,37,26,11,41,0
Torneo Apertura 2017,CampeónStar*.svg,26,19,5,2,45,15,30,62,0
Torneo Finalización 2017,5°,22,13,2,7,27,14,13,41,0
Torneo Apertura 2018,2º,25,14,7,4,27,7,14,49,0
Torneo Finalización 2018,9°,19,8,6,5,27,20,7,30,0
Torneo Apertura 2019,7°,26,9,8,9,30,29,1,35,0
Torneo Finalización 2019,3°,26,11,10,5,37,24,13,43,0
Campeonato Colombiano 2020,4°,22,11,5,6,41,35,6,38,0
Torneo Apertura 2021,5°,20,10,5,5,39,18,21,35,0
Torneo Finalización 2021,5°,26,13,9,4,42,22,20,48,0
